industry,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20
"Apparel, Leather & Allied Products",-5,-3,-4,16,6,6,15,14,13,7,-1,0,0,-2,-7,-2,14,0,-7,-6,-10,-9,-10,-10,-10,-7,-5,0,-6,8,-7,-10,-8,-7,-4,7,10,16,0,-1,-2,-3,-2,-3,4,0,0,13,8,-2,-1,1,0,0,15,15,9,11,3,10,0,0,0,-5,-6,-5,-9,-7,-15,-11,5,-15,-7,0,8,0,4,9,0
Chemical Products,-3,1,2,6,10,-2,8,6,4,8,0,-2,5,1,4,2,1,3,6,6,-1,3,-1,2,-1,3,4,5,-2,4,6,1,-2,1,6,1,8,10,5,7,4,10,10,5,8,6,5,3,7,7,7,8,9,3,3,2,6,2,5,5,7,8,8,9,4,6,1,1,1,-6,-2,-3,2,1,5,-1,-3,5,9
Computer & Electronic Products,-1,0,5,5,8,10,1,3,6,1,0,-1,2,-1,1,-1,-1,1,1,-2,-5,-1,-4,-3,3,-5,1,3,6,5,1,4,3,6,8,3,1,14,4,3,6,8,6,9,10,5,11,15,6,12,15,7,7,11,14,16,12,8,13,7,13,14,0,3,5,5,4,0,-1,1,1,1,5,6,4,-3,-2,7,2
"Electrical Equipment, Appliances & Components",5,5,-2,1,16,7,5,1,-1,11,8,2,9,2,-4,3,8,6,-6,-4,-7,-5,-5,-4,1,5,-3,0,4,-3,-6,-11,-1,-3,-3,4,-2,4,17,16,9,11,14,7,2,2,6,1,3,2,5,16,14,13,16,11,7,12,9,2,1,13,0,12,6,2,-2,-1,-12,-4,-1,-6,-6,4,0,-7,-4,1,8
Fabricated Metal Products,6,4,8,11,14,11,6,15,10,14,11,10,10,5,7,10,4,4,4,3,-4,1,-2,-6,-4,-1,5,6,9,9,4,-1,-3,-2,5,2,2,8,2,11,3,4,12,10,7,4,3,2,13,8,17,15,12,12,6,3,2,-1,0,-5,4,12,3,1,-1,-1,-8,-6,-9,-3,-9,-8,1,3,-2,-11,-7,-2,6
"Food, Beverage & Tobacco Products",1,6,3,12,4,13,10,8,8,9,14,7,3,7,2,9,11,7,5,5,4,4,2,1,-3,4,6,1,3,10,5,2,4,8,7,8,6,6,3,6,10,7,8,1,9,11,7,6,1,1,2,5,8,10,5,6,11,9,4,4,2,7,0,4,3,8,6,7,2,3,4,3,6,7,9,1,3,8,7
Furniture & Related Products,2,3,12,14,17,15,17,16,11,4,12,8,1,10,-1,11,13,11,7,9,5,6,-3,0,4,7,11,-1,-1,0,7,-8,6,5,-1,-5,-3,-1,15,13,14,15,4,-1,-1,3,4,5,-2,-1,4,13,11,7,4,10,3,7,2,0,10,2,0,5,10,12,7,8,-2,5,-11,-12,8,13,-3,-14,5,11,12
Machinery,3,12,7,10,12,12,9,2,-3,2,5,-4,4,4,5,6,3,-1,-4,1,-6,-4,-8,-8,2,0,8,4,2,2,-4,-6,-6,-1,3,5,5,15,13,9,12,12,11,12,16,14,13,16,10,13,8,11,10,6,9,9,10,5,7,9,5,3,1,6,1,1,-1,3,-3,-7,-3,-1,-1,2,-1,-9,-6,-1,1
Miscellaneous Manufacturing,-4,-1,-1,13,2,8,7,11,9,13,13,3,11,6,-3,7,2,8,9,4,3,5,3,3,6,6,9,-2,5,6,9,3,2,9,11,9,11,1,11,4,7,2,3,6,6,10,2,7,2,4,3,2,4,4,7,12,14,6,8,3,11,6,4,11,7,3,-3,2,3,-2,2,2,4,5,2,-4,-5,4,4
Nonmetallic Mineral Products,-7,9,4,0,13,14,11,7,12,10,3,-3,-1,8,6,15,10,9,3,7,1,0,4,-1,-9,0,10,2,-3,1,3,5,7,7,2,-2,-5,11,9,14,15,14,5,4,15,15,10,10,-1,10,12,9,15,15,10,8,1,-2,-2,-4,-1,-1,6,8,2,9,-6,4,-4,0,-4,-10,3,-1,0,-10,6,3,0
